"img-fit-cover src","entity_localized_name","anime_tag","anime_summary","anime_story","steam-site-name","steam-site-name 2","steam-site-name 3","anime_tag 2","anime_tag 3","scormem-item","scormem-item 2","image_path"
"https://static.acgsecrets.hk/img/23/23317a3a9f369cd782f47849e1be9a3b/65590572a6bae47d35da4787b1b1a0069619dca3fe78d2dc15de4fafadb07208.jpg","魔都精兵的奴隸","動作","其他名稱：Mato Seihei no Slave、Chained Soldier、魔都精兵的奴隶","日本各地出現了異空間「魔都」──由於只有女性能從魔都的「桃」得到特異的能力，因此便由女兵組成了「魔防隊」。某一天，過著抑鬱生活的男高中生──和倉優希不小心闖進了突發性產生的魔都入口，在那裡，遇到了「魔防隊」第七組的美麗隊長──羽前京香，而她竟向優希宣言：「我要你當我的奴隸。」","木棉花YouTube","木棉花YouTube","巴哈姆特動畫瘋","家長指引","奇幻","6.85","237K","anime_data/images/魔都精兵的奴隸.jpg"
"https://static.acgsecrets.hk/img/33/334388d52f0b57f0ab1d7fc3e9b9c1b5/3747d9cba0787a3915653b729fc08c33b57c8d05fdd310723d90c32a0f6faefa.jpg","治癒魔法的錯誤使用法","動作","其他名稱：治癒魔法の間違った使い方、治癒魔法的錯誤用法、Chiyu Mahou no Machigatta Tsukaikata: Senjou wo Kakeru Kaifuku Youin、The Wrong Way to Use Healing Magic、治愈魔法的错误用法、治愈魔法的错误使用法","在某個下雨天，平凡的高中生‧兔里，和同樣準備返家的學生會長‧鈴音，和同學一樹三個人，竟然在路上被魔法陣給吸進異世界去！在那裡他們得知，鈴音和一樹是勇者，而原以為只是被捲入的兔里，卻是稀有的治癒魔法使？他不但被自稱是救命團團長的羅絲強行帶走，並被迫做了如在地獄裡的嚴格訓練？究竟他們之後的命運會如何呢？","木棉花YouTube","木棉花YouTube","巴哈姆特動畫瘋","奇幻","","7.53","294K","anime_data/images/治癒魔法的錯誤使用法.jpg"
"https://static.acgsecrets.hk/img/8f/8f1d7de002553aaf6a3602536810c454/12a47f0f923f15f7089f60f9bf78f7b65e53e3f4807b55f3c7e2278277cdfa93.jpg","非自願的不死冒險者","動作","其他名稱：事與願違的不死冒險者、Nozomanu Fushi no Boukensha、The Unwanted Undead Adventurer、非自愿的不死冒险者、事与愿违的不死冒险者","以最頂級的神銀級冒險者為目標，轉眼過了十年。仍是區區銅級冒險者的雷特，獨自闖進《水月迷宮》，並在那裡碰到了「巨龍」，結果在壓倒性的力量面前，雷特束手無策地遭對手吞噬。──就這樣，雷特「甦醒了」。然而不知為何，他卻變成了最弱魔物「骨人」的模樣……！？雷特為了避免遭人類剷除，決定將希望寄託在魔物的「存在進化」上－－也就是打倒其他魔物累積經驗，以進化成高階魔物為目標。因為如果能藉由存在進化變成「食屍鬼」，或許就能偽裝成人類。而在這個過程中，雷特巧遇了人類的菜鳥冒險者莉娜。為拯救莉娜而擊敗魔物的雷特，也在同時體會到自己藉由存在進化所得到的力量……！？與強大魔物戰鬥，目睹各種神祕事物，並且讓自己變得更加強大。在死後仍持續朝遙遠的神銀級邁進，不死者雷特的「冒險」就此揭開序幕！","Netflix","木棉花YouTube","Netflix","冒險","奇幻","7.43","204K","anime_data/images/非自願的不死冒險者.jpg"
"https://static.acgsecrets.hk/img/35/35b822053f2a59ede1a5eca605d55b9b/7badf38b0707086bdbacfae06c636e52e45f2ff127c2e54469ef6f093a1e6bda.jpg","夢想成為魔法少女","動作","其他名稱：憧憬成为魔法少女、Mahou Shoujo ni Akogarete、Gushing over Magical Girls、I Admire Magical Girls, and...、梦想成为魔法少女","在一個實際有魔法少女存在，由她們對抗奇異魔物來保護眾人的世界裡，就讀國中2年級的柊舞緹娜，是一個崇拜魔法少女的普通國中女生。在夢想著自己如果也能變身就好的舞緹娜面前，突然出現一個看起來就像是吉祥物的生物，並且說要給她能變身的能力。但沒想到變身之後居然不是魔法少女，而是邪惡組織女幹部。因為變身畫面被錄下而不得不與魔法少女作戰的舞緹娜，慢慢發現自己其實好像不是真的那麼不情願……","巴哈姆特動畫瘋","","","喜劇","家長指引","7.62","189K","anime_data/images/夢想成為魔法少女.jpg"
"https://static.acgsecrets.hk/img/2b/2b7f7b4f73b9009b9c5ab5491cb0308a/e0376151641e9cf142a2ccf7602ed1a7726095a0445bb48dfe3d746e666e9a4b.jpg","因為不是真正的夥伴而被逐出勇者隊伍，流落到邊境展開慢活人生 2nd","動作","其他名稱：因為不是命中注定的同伴而被趕出了勇者的隊伍、從此以後過上了悠閑的隱居生活 2nd、我被逐出隊伍後過上慢生活 2nd、Shin no Nakama ja Nai to Yuusha no Party wo Oidasareta node, Henkyou de Slow Life suru Koto ni Shimashita 2nd、Banished from the Hero's Party, I Decided to Live a Quiet Life in the Countryside 2nd、因为不是真正的伙伴而被逐出勇者队伍， 流落到边境展开慢活人生 2nd、因为不是命中注定的同伴而被赶出了勇者的队伍、从此以后过上了悠闲的隐居生活 2nd、我被逐出队伍后过上慢生活 2nd","打敗強襲而來的賢者艾瑞斯之後，雷德與寶貝妹妹露緹及其摯友媞瑟一起過著幸福的生活。雷德與莉特在這場戰役的尾聲互相許諾終生，他決定前往「世界盡頭之壁」尋找這世上最好的寶石送給莉特，卻在旅途中遇上昔日夥伴！","Bilibili","Bilibili","Bilibili","冒險","奇幻","6.76","144K","anime_data/images/因為不是真正的夥伴而被逐出勇者隊伍，流落到邊境展開慢活人生 2nd.jpg"
"https://static.acgsecrets.hk/img/f4/f4d6009d1addd5cde500fdb00596a8bd/4a35017b527405f46e7ba2e1a72db6d14010db54e063cf48f1e8aae9f85fbeb0.jpg","秒殺外掛太強了，異世界的傢伙們根本就不是對手。","動作","其他名稱：Sokushi Cheat ga Saikyou Sugite, Isekai no Yatsura ga Marude Aite ni Naranaindesu ga.、My Instant Death Ability Is So Overpowered, No One in This Other World Stands a Chance Against Me!、秒杀外挂太强了，异世界的家伙们根本就不是对手。","在學校的旅行中，高遠夜霧和他的同學們突然被召喚到異世界。召喚他們的是一位自稱為賢者的女性，シオン。她給予他們名為《Gift》的特殊能力，並告訴他們必須完成賢者的考驗。即便對這突發狀況感到困惑，所有人仍然決定開始行動。但奇怪的是，夜霧和壇ノ浦知千佳等一些學生沒有獲得《Gift》。他們被當作誘餌，遺留在即將被龍攻擊的草原上。那些被遺留的學生一個接一個地被龍殺死，夜霧和知千佳也陷入了危險。但是……夜霧突然大喝「去死吧」，就擊退了龍。原來，他擁有能立刻殺死任何對象的《秒殺外掛》能力！夜霧和知千佳開始了他們返回原世界的冒險之旅。在他們前方等待著的，是異世界中的其他超能力者。不死的吸血鬼？能重來的勇者？被神寵愛的轉生者？但他們都不是夜霧的《秒殺外掛》的對手！","木棉花YouTube","巴哈姆特動畫瘋","木棉花YouTube","冒險","奇幻","6.36","176K","anime_data/images/秒殺外掛太強了，異世界的傢伙們根本就不是對手。.jpg"
"https://static.acgsecrets.hk/img/d2/d27d041b992b2a9b93a14d3d4afdac24/8699134d9db37558bb798857aac9b65d3848d60120a62dbcba235b3719128553.jpg","指尖相觸，戀戀不捨","浪漫","其他名稱：Yubisaki to Renren、A Sign of Affection、指尖相触，恋恋不舍","「自從與你相遇之後，我的世界出現了開始改變的聲音。」小雪的世界一直是由可愛的東西、朋友、大學、SNS撐到了現在。 有一天她在電車上遇到了外國人向她問路，可小雪沒辦法幫助對方，這時……逸臣先生毫無徵兆地出現在了她的世界裡。 ——「我完全不想知道，中止這份感情的方法。」","木棉花YouTube","木棉花YouTube","巴哈姆特動畫瘋","","","8.2","314K","anime_data/images/指尖相觸，戀戀不捨.jpg"
"https://static.acgsecrets.hk/img/27/272f31e113df7d0521fc57305ea7cb90/6799c760b57df0a44e71d69c66c14ece9752a962b5a99916f2ab42a569ef8a44.jpg","異修羅","動作","其他名稱：Ishura、异修罗","那是魔王遭弒之後的世界。該地遺留眾多足以擊斃魔王的修羅。一眼即能找出殺害對手手段的異世界劍豪、超越音速的神速槍兵、能同時以三隻手臂運用傳說武器的鳥龍冒險者、一句話便能實現所有現象的全能詞術士、身為未知之物，司掌驟死之力的天使暗殺者……來自各方種族，功力已臻至極的修羅們為了尋求更強大的敵人，追求「真正勇者」的榮耀，將會爆發一場嶄新的爭鬥。全員皆為最強，全員皆是英雄，唯有一人能成為勇者。決定「真正勇者」的激烈戰鬥即將揭幕──","Disney＋","Disney＋","Bilibili","冒險","奇幻","6.72","125K","anime_data/images/異修羅.jpg"
"https://static.acgsecrets.hk/img/f5/f5dff6880f7fc937ea3fba12c335553b/69066e7fcbfb346841c9b8c3393a56e8d5dd2fb21b53764325cd53916d6e0589.jpg","為了在異世界也能撫摸毛茸茸而努力。","冒險","其他名稱：為了在異世界也能撫摸毛茸茸而努力著。、Isekai de Mofumofu Nadenade suru Tame ni Ganbattemasu.、Fluffy Paradise at the Isekai, I'm trying to do my best、为了在异世界也能抚摸毛茸茸而努力着。、为了在异世界也能抚摸毛茸茸而努力","秋津みどり死於過勞後重生，被神授予一項特殊能力——能夠得到非人類生物的喜愛。她轉生為高規格貴族最小的女兒，名為ネフェルティマ・オスフェ，暱稱ネマ（三歲）。在那裡，她受到各種毛茸茸生物的愛戴，甚至可以自由地撫摸白虎和龍！今天，ネマ依然在「毛茸茸」「撫摸」中得到治愈，同時為了人類的存續（？）而奮鬥！","Crunchyroll","Crunchyroll","","奇幻","日常","6.78","90K","anime_data/images/為了在異世界也能撫摸毛茸茸而努力。.jpg"
"https://static.acgsecrets.hk/img/9f/9fbac9fa6e2c84a468b48d04f5c50dd9/4b376b54d21f1aa49ebb153ada12b527a166184ef06ee8db56a749794dde9a3d.jpg","女王的手術刀","喜劇","其他名稱：Surgeon Elise、Gekai Elise、Doctor Elise、外科医生爱丽丝、女王的手术刀","高本葵的前世是「悪女皇后」エリーゼ。她的所作所為為眾多下民帶來痛苦，最後由於其罪行被丈夫リンデン處以死刑。在這世，她為了彌補前世的過錯而成為一名外科醫生，不幸的是，她在一次飛機事故中喪命。驚訝地，當她再次醒來，她回到了那災難性的前世，回到被處刑的十年前，並再次遇到因她而喪命的家人。她不想再失去親近的人，決心在這第三世避免和リンデン的婚約，並利用她的醫學知識再次成為一名醫生。","Aniplus","巴哈姆特動畫瘋","","奇幻","浪漫","7.26","109K","anime_data/images/女王的手術刀.jpg"
"https://static.acgsecrets.hk/img/49/49407e40ad2081c2c9f64d1054ed4c7b/5ed49c97293fe5974a6221bb62d87061ced4ee360f6567103273395c9db6a55c.jpg","勇氣爆發Bang Bravern","動作","其他名稱：Yuuki Bakuhatsu Bang Bravern、Bang Brave Bang Bravern、勇气爆发Bang Bravern","——連繫他們的是「勇氣」在人型裝甲兵器『ティタノストライド(通稱TS)』盛行的時代，各國軍隊集結在「夏威夷Oahu島」。陸上自衛隊的「碧勇」與美國海軍陸戰隊的「Lewis Smith」在戰鬥之中邂逅。不明身份的敵人突然襲擊，士兵們陸續陣亡。為了自己的榮譽而戰。為了在死亡四伏的戰場上生存下來。為了拯救同伴。相信生命，讓「勇氣」熾熱燃燒。","Aniplus","巴哈姆特動畫瘋","","科幻","","7.54","35K","anime_data/images/勇氣爆發Bang Bravern.jpg"
"https://static.acgsecrets.hk/img/3c/3c8e6b1e43cd85ffa0b433f1a915276e/ff1c3c7922348558ce2d619bb65426bc30e9017710c6005f1503e38c7631b9cb.jpg","北海道辣妹金古錐","喜劇","其他名稱：北海道辣妹賊拉可愛、Dosanko Gal wa Namara Menkoi、Hokkaido Gals Are Super Adorable!、北海道辣妹贼拉可爱、北海道辣妹金古锥","原本生活在東京的高中生˙四季翼，因為家庭因素的關係，搬家到偏僻的北海道北見市。在這個生活環境、生活步調與東京都完全不同的北方大地，他遇見了「北海道辣妹」冬木美波。美波對這位來自大都市的好朋友非常地友善，而且攻勢也非常地積極，讓小翼漸漸開始對美波動心。青澀都市少年與北海道辣妹之間的戀情，就此展開！","Crunchyroll","Crunchyroll","","","","7.04","204K","anime_data/images/北海道辣妹金古錐.jpg"
"https://static.acgsecrets.hk/img/3a/3ab11c72f1573d9b3848f04575d8f46b/ee2aef18b495df15381097bc1ab832a223ad983af152e1f4d85fed85ad6801e9.jpg","佐佐木與文鳥小嗶","冒險","其他名稱：Sasaki to Pii-chan、Sasaki and Peeps、佐佐木与文鸟小哔","在寵物店買的可愛文鳥竟是從異世界轉生而來的著名賢者。佐佐木被賦予了超越世界的機會和強大的魔法力量，開始將現代物品帶到異世界進行買賣。在世界之間來回穿梭──賺賺錢、做做魔法訓練，偶爾品嚐美食──以如此悠然愜意的生活為目標。然而，某天他卻在從公司回家的路上，遇到了異能力者。儘管憑著得自賢者的魔法解決了異能戰鬥，卻使得他的實力受到注目，因而被內閣府超常現象對策局挖角，決定轉行成為國家公務員……？","viu.com","巴哈姆特動畫瘋","木棉花YouTube","喜劇","奇幻","6.84","112K","anime_data/images/佐佐木與文鳥小嗶.jpg"
"https://static.acgsecrets.hk/img/b6/b6a565aa7c9194cd433d2023ae47991f/b7f594a067cb373c2e6b641dd0cef8eafd47818a31d921a89af1f927790cb53d.jpg","愚蠢天使與惡魔共舞","喜劇","其他名稱：Oroka na Tenshi wa Akuma to Odoru、The Foolish Angel Dances with the Devil、愚蠢天使与恶魔共舞","為了讓面臨存亡關頭的魔界惡魔們重拾幹勁，阿久津雅虎被指派前往人類世界尋找具備偶像特質的人。阿久津以轉學生身分進入校園，發現班上的美少女天音具備成為精神領導者的特質，不料天音真正的身分竟然是惡魔的天敵「天使」！於是一場互相征服的腹黑戀愛喜劇開幕！","Ani-One YouTube","Ani-One YouTube","巴哈姆特動畫瘋","超自然","","6.91","138K","anime_data/images/愚蠢天使與惡魔共舞.jpg"
"https://static.acgsecrets.hk/img/7a/7a571ff958be320c9e799fa1d2ef573a/3df780b8f37c65cb98799035cbcf4fc5c9fefbac358a8590889d845e74655cbe.jpg","反派千金等級99","奇幻","其他名稱：悪役令嬢レベル99 ～私は裏ボスですが魔王ではありません～、反派千金等級99～我是隱藏頭目但不是魔王～、惡役千金等級99、Akuyaku Reijou Level 99: Watashi wa Ura-Boss desu ga Maou dewa Arimasen、Villainess Level 99: I May Be the Hidden Boss but I'm Not the Demon Lord、反派千金等级99、反派千金等级99～我是隐藏头目但不是魔王～、恶役千金Lv.99","我轉生成了RPG類型女性向遊戲中的反派千金尤蜜拉。不小心燃起身為遊戲玩家的鬥志，努力鍛鍊之後，導致我的等級在進入學園就讀時就已經達到了99級。本來還希望能夠不跟遊戲主線扯上關係，盡量避免引人注目，過著平穩的生活，沒想到等級在剛入學時就曝了光，遭到女主角、攻略對象等人懷疑是魔王……!?","Aniplus","巴哈姆特動畫瘋","","","","7.13","192K","anime_data/images/反派千金等級99.jpg"
"https://static.acgsecrets.hk/img/27/2768a7423ca26c395de5651897163e5c/01ce45ec2a9dd632c29757374f57365ef029d0d558bab136b52641360fa90530.jpg","到了30歲還是處男，似乎會變成魔法師","喜劇","其他名稱：30-sai made Doutei dato Mahoutsukai ni Nareru Rashii、Cherry Magic! Thirty Years of Virginity Can Make You a Wizard?!、到了30岁还是处男，似乎会变成魔法师","由於安達30歲了還保有處男之身，因此變得能使用魔法。他得到的是「只要接觸就能讀取人心」這般多餘又樸素的魔法之力。這樣的某日，他無意間讀取到工作優秀的同期帥哥同事──黑澤的心，黑澤的心中，充滿了對安達的無限愛戀!?","Ani-One YouTube","Ani-One YouTube","巴哈姆特動畫瘋","超自然","","7.64","84K","anime_data/images/到了30歲還是處男，似乎會變成魔法師.jpg"
"https://static.acgsecrets.hk/img/eb/ebadf6fa36c6e822261cb4aefcc20db8/e46678eba2b30e0fafe5aca2b36592e6b7852a3096bbcbf4735fcbfa7396ae18.jpg","青之祓魔師 島根啓明結社篇","動作","其他名稱：Ao no Exorcist Shimane Illuminati-hen、Blue Exorcist -Shimane Illuminati Saga-、青之驱魔师 岛根启明结社篇、青之祓魔师 岛根启明结社篇","","愛奇藝","愛奇藝","巴哈姆特動畫瘋","奇幻","","7.1","174K","anime_data/images/青之祓魔師 島根啓明結社篇.jpg"
"https://static.acgsecrets.hk/img/d9/d932ed7cf260309480335ebdee581cbd/2136fd3f0734e62fb7133af6969aac492776e3ef20c177859a432a72f4b9ef84.jpg","無人能敵?!","","其他名稱：BUCCHIGIRI?!、无人能敌?!","灯荒仁因為與昔日摯友浅観音真宝的重逢，被捲入了強者們的戰鬥之中…。在這過程中，一個巨大的魔人影子出現了…？！","Crunchyroll","Crunchyroll","","","","6.5","106K",""
"https://static.acgsecrets.hk/img/27/2710f6ba9345a2f22cca0079bda5b6b7/dd6c15be48d4db46bc7fe59be28b8dd2843aad5f2b07bd81eec5d7a5bf22bd0b.jpg","輪迴第7次的惡役令孃，在前敵國享受自由自在的新娘生活","奇幻","其他名稱：輪迴七次的惡役千金，在前敵國享受隨心所欲的新婚生活、七周目千金、Loop 7-kaime no Akuyaku Reijou wa, Moto Tekikoku de Jiyuu Kimama na Hanayome Seikatsu wo Mankitsu suru、7th Time Loop: The Villainess Enjoys a Carefree Life Married to Her Worst Enemy!、轮回七次的恶役千金，在前敌国享受随心所欲的新婚生活、轮回7次的恶役千金，在前敌国享受随心所欲的新婚生活","公爵千金莉雪其實已經度過了好幾次的人生，體驗過數種職業，但每段人生都必定在２０歲死亡，又回到廢除婚約的瞬間。於是她這次下定決心要活長命一點，而且過自由自在的生活。正當準備付諸行動時，卻遇到了在上一段人生殺了自己的人，加爾古海因皇國的王太子阿諾德•海因！？於且對方還突然像自己求婚？莉雪將怎麼發揮自己過去所學的專長，實現自己的目標並面對將遇到的困難呢？","木棉花YouTube","木棉花YouTube","巴哈姆特動畫瘋","浪漫","","7.52","212K","anime_data/images/輪迴第7次的惡役令孃，在前敵國享受自由自在的新娘生活.jpg"
"https://static.acgsecrets.hk/img/71/714365b98db06662db5ef2f48f873a86/95a70c5e794c9c5263ee07802f7690498fe7a653d7cb07c95c582e4414dc6ce7.jpg","婚戒物語","動作","其他名稱：Kekkon Yubiwa Monogatari、Tales of Wedding Rings、婚戒物语","十年之前，少女野中姬乃在一陣光芒中走進少年佐藤的生活；十年之後，聽到青梅竹馬親口向自己道別，佐藤忍不住就追隨了她的腳步，衝進了光芒之中……一睜開眼，只見自己進入了奇幻故事般的世界中！還搞不清楚狀況的他，在被稱為公主的姬乃一吻之下，便成為了那個世界眾所期盼的傳說勇者‧戒王！","Ani-One YouTube","Ani-One YouTube","巴哈姆特動畫瘋","奇幻","浪漫","6.07","128K","anime_data/images/婚戒物語.jpg"
