"img-fit-cover src","entity_localized_name","anime_tag","anime_tag 2","anime_summary","anime_story","steam-site-name","steam-site-name 2","steam-site-name 3","steam-site-name 4","steam-site-name 5","steam-site-name 6","scormem-item","scormem-item 2","image_path"
"https://static.acgsecrets.hk/img/0b/0b51890afa929a27201e0a780f8179f7/80d6df8b1c3b69d2da3fddf49c96dcba28f194cd09d415a6d4103a2d5149f24a.jpg","琉璃的寶石","日常","","其他名稱：Ruri no Houseki、Introduction to Mineralogy、琉璃的宝石","喜歡珠寶配飾的女高中生‧琉璃，想要買水晶項鍊卻受限於媽媽的經濟制裁，於是突發奇想到以前常採野菜的山中尋找水晶，還真的發現了原生的水晶礦石…!!神祕又驚嘆連連的礦物收藏世界，無論是山脈、河流、洞穴，哪裡有寶藏就往哪裡去！","巴哈姆特動畫瘋","巴哈姆特動畫瘋","Bilibili","","","","7.79","56K","anime_data/images/琉璃的寶石.jpg"
"https://static.acgsecrets.hk/img/79/7926e7d69dfa12384b6d5e456189422f/fcd4ce90dfc50763fead4474df62792685bc11eaf46e4a76a6ae641f33fa2b02.jpg","轉生為第七王子，隨心所欲的魔法學習之路 第二季","冒險","奇幻","其他名稱：Tensei shitara Dainana Ouji Datta node, Kimama ni Majutsu wo Kiwamemasu 2nd Season、I Was Reincarnated as the 7th Prince so I Can Take My Time Perfecting My Magical Ability Season 2、转生为第七王子，随心所欲的魔法学习之路","為了習得神聖魔術，洛伊德來到了教會。在第四王女與修女的演奏過程中，他感受到一股「奇妙的視線」，並一路追蹤其源頭，最終抵達「天界」！他卻在那裡遭到天使不由分說的攻擊…。","巴哈姆特動畫瘋","木棉花YouTube","巴哈姆特動畫瘋","木棉花YouTube","","","7.66","88K","anime_data/images/轉生為第七王子，隨心所欲的魔法學習之路 第二季.jpg"
"https://static.acgsecrets.hk/img/5f/5fb23ba1891710ca7a4faef5408e6524/a6133025fcfd61ce65a3c60ebd368bfecc89ff1a4135b06cfd845e74138ce254.jpg","公爵千金的家庭教師","奇幻","","其他名稱：公女殿下的家庭教師、Koujo Denka no Kateikyoushi、Private Tutor to the Duke's Daughter、公女殿下的家庭教师、公爵千金的家庭教师","亞連是一名擁有超乎尋常的魔法技術，卻時時保持謙虛的青年。他參加王宮魔法士考試卻名落孫山，接著就在教授的半推半就下，接下家庭教師的工作。只是沒想到，他身為家庭教師要指導的，是四大公爵家之一的霍華德公爵家「不會魔法」的千金小姐，而公爵千金的目標，居然是考進傑出魔法士輩出的王立學校！亞連能順利達成任務嗎？","木棉花YouTube","愛奇藝","巴哈姆特動畫瘋","巴哈姆特動畫瘋","木棉花YouTube","愛奇藝","6.39","37K","anime_data/images/公爵千金的家庭教師.jpg"
"https://static.acgsecrets.hk/img/83/8342cce62484a17d850b9d6605a00af2/98eeea1f6ed46777bc63a8c04dadc8378c8f417a31eb9e3c3fbcf4a14825707f.jpg","怪獸8號 第2季","動作","奇幻","其他名稱：Kaijuu 8-gou 2nd Season、Kaiju No. 8 Season 2、怪兽8号 第2季","日比野卡夫卡遇上怪獸9號後，陷入無法變身的危機。他與四之宮奇可露共同對付怪獸9號時，領悟了無法變身是由於自己的恐懼。另一方面，在鳴海隊長面前出現的另一隻怪獸9號，戰鬥中不斷進化…!?","viu.com","巴哈姆特動畫瘋","Ani-One YouTube","愛奇藝","myTV SUPER","Crunchyroll","7.85","254K","anime_data/images/怪獸8號 第2季.jpg"
"https://static.acgsecrets.hk/img/1e/1ebc02d6864edeb9a01251efa37d8298/8927bf140980383680c4a4b504527206dbc170208fe8ca478bef1c3cfc8470c3.jpg","徹夜之歌 第2季","浪漫","超自然","其他名稱：Yofukashi no Uta Season 2、Call of the Night Season 2""、彻夜之歌 第2季","更終於跨越了對於變成吸血鬼的迷惘，而薺也下定決心要讓更「愛上自己」。依然不懂「戀愛」到底是什麼的二人的夜晚，開始加速！「戀愛這種博弈，正常人是不會碰的。」兩人相約漫步東京……在都會的夜裡尋找「戀愛」！然後全新的衝擊夜晚，即將襲向建立起穩固感情的二人！","巴哈姆特動畫瘋","回歸線YouTube","愛奇藝","Netflix","巴哈姆特動畫瘋","回歸線YouTube","8.33","176K","anime_data/images/徹夜之歌 第2季.jpg"
"https://static.acgsecrets.hk/img/11/11de6d9fd4596af485cffd4103c4f95c/76ea5fa077c9bc87bb3fe8c4790a050e8c04fc4cb7c343197b5508ab184bfe23.jpg","CITY THE ANIMATION","喜劇","日常","其他名稱：小城日常、City The Animation","這小小的城鎮，可不是普通的城鎮。有笑聲（噗噗噗）  有愛情（怦怦♡）  也有淚水（嗚嗚嗚💧）  由居民們交織而成，無法預測的平凡日常！  令人滿懷期待的連鎖不斷，歡迎來到小城。","Amazon Prime Video","Amazon Prime Video","Bilibili","","","","7.92","61K","anime_data/images/CITY THE ANIMATION.jpg"
"https://static.acgsecrets.hk/img/ea/ea90f655bfcdae461e20ba971445d88e/69c4bd515aacf25cead1c2459ab9df965ceed926efcc28e24010f2cf8c2d3fc4.jpg","NUKITASHI 住在拔作島上的我該如何是好？","家長指引","","其他名稱：NUKITASHI THE ANIMATION、生活在拔作一樣的島上我該怎麼辦才好？、拔作島 THE ANIMATION、Nukitashi the Animation、住在拔作岛上的我该如何是好？、拔作岛 THE ANIMATION、NUKITASHI 住在拔作岛上的我该如何是好？","「不准破壞風紀！給我搞色色！」可以插！可以做！可以啪啪！因為有「色色條例」的關係，色情樂園˙性亂島成為一個可以做任何色色行為的地方。住在這座島上的處女˙畔美岬，基於某個原因，一直都不願意做色色的事情，但是在這座島上，身為處女、處男是觸犯條例的行為！等著這些人的就是…制裁罪行的老二斷頭台！就在這時候，處男˙橘淳之介就出現在美岬的面前。當處女與處男相遇的時候，故事就開始動起來。","巴哈姆特動畫瘋","愛奇藝","巴哈姆特動畫瘋","愛奇藝","","","7.15","36K","anime_data/images/NUKITASHI 住在拔作島上的我該如何是好？.jpg"
"https://static.acgsecrets.hk/img/0d/0de0090e8486115bb44ded901b77ecff/c2dd0a08a370e695a9c656c9bdefa06a70ae4be6e628420daee2a470621f05ec.jpg","我們不可能成為戀人！絕對不行。（※似乎可行？）","喜劇","","其他名稱：我怎麼可能成為妳的戀人，不行不行！（※不是不可能！？）、Watashi ga Koibito ni Nareru Wake Nai jan, Muri Muri! (※Muri ja Nakatta!?)、There's No Freaking Way I'll be Your Lover! Unless...、我怎么可能成为妳的恋人，不行不行！ （※不是不可能！？）、我们不可能成为恋人！绝对不行。 （※似乎可行？）","我‧甘織玲奈子拋棄了孤單一人的國中時代，在升上高中後改頭換面。但由於我的本性陰沉，所以根本適應不了自己所憧憬的陽角生活，感覺喘不過氣！此時因為某些機緣，我和我們學校的超級巨星‧王塚真唯變成了共享彼此煩惱的密友。只要有真唯在，我每天就能繼續努力──我本來是這樣想的！「我……喜歡上妳了。」「等一下！說好的當朋友呢？」戀人這種不穩定的關係是不行的！我想交到最棒的朋友，享受高中生活啦！可是真唯似乎沒辦法放棄那份愛戀之情──「一決勝負吧，看看適合我們的關係究竟是戀人還是摯友。」於是，賭上兩人關係的這齣馬不停蹄的戀愛喜劇就此開幕！","巴哈姆特動畫瘋","巴哈姆特動畫瘋","","","","","7.53","65K","anime_data/images/我們不可能成為戀人！絕對不行。（※似乎可行？）.jpg"
"https://static.acgsecrets.hk/img/31/31342aad4a7045d9ac30e30a93282ccf/92ed926d8b1d39685adf0e93e0699cdd60b4190053705e1c473101b25ec7b9ff.jpg","醜男真戰士","動作","冒險","其他名稱：肥宅勇者、Busamen Gachi Fighte、Uglymug, Epicfighter、丑男真战士","「容貌-255」「摸到女生會HP爆減」「做愛會四分五裂爆炸」…以上述不利「設定」作為交換條件，前業務員繭居族吉岡繁，將在異世界獲得何種能力…？宇宙無敵最強「醜男」的異世界冒險譚!!","Bilibili","Ani-One YouTube","巴哈姆特動畫瘋","viu.com","Bilibili","Ani-One YouTube","6.27","33K","anime_data/images/醜男真戰士.jpg"
"https://static.acgsecrets.hk/img/37/37d44ad24e756c57d186fcf627c2244b/d1f6f6fa11541299fca803b5f544b8f0e934b83b2f4489627ce647bd987da61f.jpg","氣絕勇者與暗殺公主","動作","喜劇","其他名稱：Kizetsu Yuusha to Ansatsu Hime、The Stunned Hero and the Assassin Princesses、气绝勇者与暗杀公主","勇者トト雖然擁有實力，但因極度怕生而無法組成隊伍，只能在起始之鎮裡蹉跎時日。就在此時，他突然收到三位美女——シエル、アネモネ以及ゴア——的邀請，一同踏上旅程！對於終於盼到的出發之日而幹勁十足的トト，卻不知道這三人其實對勇者滿懷「殺意」！？這是一部描寫對女性極度缺乏耐受力、稍微刺激點就會暈倒的怕生勇者，與各懷鬼胎、試圖奪取勇者性命的三位美女之間所展開的後宮死亡愛情喜劇!!","viu.com","巴哈姆特動畫瘋","愛奇藝","木棉花YouTube","巴哈姆特動畫瘋","愛奇藝","6.28","38K","anime_data/images/氣絕勇者與暗殺公主.jpg"
"https://static.acgsecrets.hk/img/50/50ebdce41016d1c3da9fbaf4858efa9d/b91095baa7be05f545695b92e043cb7218ba9f8bab3bdfaa21ccfb58f867b5bb.jpg","渡同學的××瀕臨崩壞","喜劇","戲劇","其他名稱：渡君的XX即將崩壞、渡君的xx即將崩壞、Watari-kun no xx ga Houkai Sunzen、Watari-kun's ****** Is about to Collapse、Watari's XX Is on the Brink of Collapse、渡君的XX即将崩坏、渡同学的╳╳濒临崩坏、渡君的xx即将崩坏","自從爸媽去世後，還在就讀高中的直人只好帶著小學四年級的妹妹小鈴，到處投靠親戚。為了保護和自己相依為命的妹妹，直人犧牲自己的社交活動，生活完全以小鈴為重心，小鈴也揚言「不想長大」，擺明要哥哥照顧她一輩子，兄妹的感情好到讓外人欽羨。然而有一天，直人無意中察覺，拒絕改變現狀、不想長大的，其實是自己本人…？","Crunchyroll","Crunchyroll","MyVideo","","","","6.24","46K","anime_data/images/渡同學的××瀕臨崩壞.jpg"
"https://static.acgsecrets.hk/img/32/3237b9be87adff7e895c91b16073e87b/591bda3d3617f65c1b1513964265f6504d5c82ec065d4dff5bd692c385499220.jpg","神椿市建設中。","神秘","","其他名稱：KAMITSUBAKI-shi Kensetsuchuu.、KAMITSUBAKI City Under Construction.、神椿市建设中。","「歌曲是種魔法，能夠改變世界和命運，是我們的希望喔」七年前的一場大災難，令人類文明遭受毀滅性的打擊。曾是尖端科學研究學園都市的神椿市，運用這些技術正逐漸實現奇蹟般的復興。然而，在繁榮的背後，由人類惡意與慾望所誕生的怪物「テセラクター」正為這座城市帶來異變。能夠對抗這些由惡意誕生的怪物的，唯有被稱為「魔女の娘」的五位少女的歌聲。她們為了守護城市的平靜，以魔法的歌聲作為武器，向テセラクター挑戰。在這個殘破世界中僅存的城市裡，歌聲與魔法的冒險活劇即將揭開序幕！","巴哈姆特動畫瘋","愛奇藝","巴哈姆特動畫瘋","愛奇藝","Bilibili","","5.39","10.0K","anime_data/images/神椿市建設中。.jpg"
"https://static.acgsecrets.hk/img/b0/b0db2a2efa6be0a6143c420eabdef9e4/f13d916e6ed79e676bf6b1b4c61d4e958d27608c00ca74d94d334dcdea32e0af.jpg","New PANTY&STOCKING with GARTERBELT","動作","喜劇","其他名稱：New PANTY&STOCKING with GARTERBELT","在神與惡魔間的夾縫之街，Daten City。今日也有令人恐懼的惡靈＜Ghosts＞在暗地裡侵蝕這座城市。這座城市。  此時，有一群人能以超越人智的光芒，將那些源自人們慾望與怨念的惡靈徹底消滅。她們的名字是——天使Panty & Stocking！！這對奉命淨化世間黑暗的墮天使姊妹，究竟是神的使者……還是惡魔的僕從……？","Amazon Prime Video","Amazon Prime Video","","","","","8.05","69K","anime_data/images/New PANTY&STOCKING with GARTERBELT.jpg"
"https://static.acgsecrets.hk/img/f2/f246629d1ef7ff0500e84760dd1c6bfb/ce99dec339a2605d5d4c23faadf86478dfe6f9ece63280bc0d87ed178ffe5bb5.jpg","9-nine- 支配者的王冠","神秘","超自然","其他名稱：9-nine- Ruler's Crown、9: Ruler's Crown","白巳津川市。這是一座除了作為學園都市以外，毫無其他特色的城市。雖然為了吸引觀光客而努力推動地方振興，但都徒勞無功。然而，卻因一件出乎意料的事件而引發世人關注。異變，突如其來。由於白蛇九十九神社的神器受損，原本過著平穩學生生活的主角・新海 翔，日常從此劇變。從平行世界湧入了能賦予持有者特殊能力的裝飾品「Artefact」，讓許多少年少女因此覺醒了異能。明明只是居住在這座毫無特色城市裡、再普通不過的學生，卻捲入了因異能者們而引發的離奇命運之中——","巴哈姆特動畫瘋","愛奇藝","巴哈姆特動畫瘋","愛奇藝","","","5.74","10K","anime_data/images/9-nine- 支配者的王冠.jpg"
"https://static.acgsecrets.hk/img/2b/2b5a4d5a72741b72c489221d48688748/8b73289af5fd98791f0862ac41509baa7e4b488f0d0e992bf1ca10b1e46510d6.jpg","BadGirl","喜劇","","其他名稱：Bad Girl","銳利的眼神配上顯眼的大耳環。再加上超耀眼的雙色髮型的高中一年級生・優谷 優。她是那個據說能讓所有人都退避三舍、名聲在外的不良少女（BadGirl）……並沒有。其實本性極度善良的優，腦海裡總是被校園的女神・水鳥亜鳥佔據。為了吸引擔任風紀委員長的亜鳥的注意，優決定放棄「優等生」身分，立志成為「壞壞的不良」！雖然擺出一副不良的樣子，其實根本一點都不壞？？描寫自稱不良、稍微有點傻氣的少女奮鬥過程的校園喜劇，現在正式開校！！","巴哈姆特動畫瘋","Ani-One YouTube","巴哈姆特動畫瘋","Ani-One YouTube","","","6.76","26K","anime_data/images/BadGirl.jpg"
"https://static.acgsecrets.hk/img/8f/8f9765d1795cbe7eeacda673c6c97604/82b85e85e27292168c5b61fe192f5b7939fe72a01b4ffab448b3bc5abe93326e.jpg","涅庫羅諾美子的宇宙恐怖秀","","","其他名稱：Necronomico的宇宙恐怖秀、死靈之子的宇宙恐怖秀、Necronomico no Cosmic Horror Show、Necronomico and the Cosmic Horror Show、死灵之子的宇宙恐怖秀、涅库罗诺美子的宇宙恐怖秀","在初中畢業後，開始了嚮往已久的Liver（＝直播主）活動的「Necronomico」──也就是黒廼ミコ。  與青梅竹馬舞夢坂舞由，以及視彼此為競爭對手的神楽坂カンナ一同度過日常時光的某一天，她竟意外接到新作VR遊戲的企劃邀約！？於是，她在那裡結識了眾多充滿個性的Liver，共同挑戰充滿謎團的各式遊戲。而她們透過這個世界，所要實現的願望究竟是───？","巴哈姆特動畫瘋","","","","","","6.2","10.0K","anime_data/images/涅庫羅諾美子的宇宙恐怖秀.jpg"
"https://static.acgsecrets.hk/img/fe/fe2ed4d269a0fe94f40f9abe61065e8b/fb82c6c2705c1d71dae73f0b8892376952d55eff1fbd986e9b1a8e85b5f8f67d.jpg","碧藍之海 第2季","喜劇","","其他名稱：Grand Blue Season 2、Grand Blue Dreaming Season 2、碧蓝之海 第2季","燃燒吧友情！展現男子漢的靈魂！這次要潛進的是女子大學！！！這些沒有女人緣的男孩們能否成功呢！？","巴哈姆特動畫瘋","回歸線YouTube","愛奇藝","巴哈姆特動畫瘋","回歸線YouTube","愛奇藝","8.67","141K","anime_data/images/碧藍之海 第2季.jpg"
"https://static.acgsecrets.hk/img/b4/b4408ce449ffee08a419f7dd2a840312/d1829f855854f2075f16b47bd00c240e2e962951ac7a3fb102caf3abc10b38f8.jpg","噗妮露是可愛史萊姆 第2季","喜劇","","其他名稱：可愛史萊姆噗尼露 第2季、Puniru wa Kawaii Slime 2nd Season、Puniru is a Kawaii Slime Season 2、可爱史莱姆噗尼露 第2季、噗妮露是可爱史莱姆 第2季","","巴哈姆特動畫瘋","Ani-One YouTube","Netflix","Crunchyroll","巴哈姆特動畫瘋","Ani-One YouTube","6.99","4.4K","anime_data/images/噗妮露是可愛史萊姆 第2季.jpg"
"https://static.acgsecrets.hk/img/7b/7be8ad2e49e6f765fd5ed63d62ddd992/33b485a961147b9e2b9340c6392479c270cbcc72b8210722816b41f382526b9b.jpg","勇者隊伍驅逐的白魔導師，被S級冒險者撿走","冒險","奇幻","其他名稱：被勇者隊伍驅逐的白魔導師，被S級冒險者撿走、Yuusha Party wo Tsuihou sareta Shiromadoushi, S-Rank Boukensha ni Hirowareru: Kono Shiromadoushi ga Kikakugai Sugiru、The White Mage Who Was Banished From the Hero's Party Is Picked Up By an S-Rank Adventurer: This White Mage Is Too Out of the Ordinary!、勇者队伍驱逐的白魔导师，被S级冒险者捡走、被勇者队伍驱逐的白魔导师，被S级冒险者捡走","「不需要不夠實力的白魔導師」  白魔導師的ロイド，有一天突然被宣告解僱，並被逐出勇者隊伍。ロイド茫然失措之際，偶然遇見正在尋找白魔導師的Ｓ Rank冒険者隊伍，並決定與他們同行執行任務。  當時還沒有人知道，勇者隊伍即將崩壞，也沒有人料到ロイド會一步步獲得名聲——。  這是一名誤以為自己很普通、卻擁有超越常規支援魔法之人，成為冒險者後在無意識間開無雙的故事。","Ani-One YouTube","巴哈姆特動畫瘋","Ani-One YouTube","巴哈姆特動畫瘋","","","6.17","51K","anime_data/images/勇者隊伍驅逐的白魔導師，被S級冒險者撿走.jpg"
"https://static.acgsecrets.hk/img/9c/9c452b5fe0f763a18491f2d524997ba3/a0db810a0b51b4da701a23ea361de7f1958a7289c344c8e2b012422852726697.jpg","出租女友 第4季","喜劇","浪漫","其他名稱：租借女友 第4季、理想女友 第4季、Kanojo, Okarishimasu 4th Season、Rent-a-Girlfriend Season 4","預支薪水，勇敢執行的「打氣約會」，在水原的大哭之下閉幕了。風波不斷的「暑假」結束，和也有一點精疲力盡……。可是，在另外一邊，麻美竟然主動跟和奶奶聯繫……？而且，瑠夏的不滿也爆發了，各方面都發生危機！水原也突然提出那個，動搖兩人緊張關係的問題…","Crunchyroll","Crunchyroll","MyVideo","","","","6.2","74K","anime_data/images/出租女友 第4季.jpg"
"https://static.acgsecrets.hk/img/25/25fac99b50360ad96de162c47d5c6d62/719dbb5e43284f1177846d4addd147e7b0c122d14f71910bf3700df877fd50ca.jpg","杜鵑婚約 第2季","喜劇","浪漫","其他名稱：akkou no Iinazuke Season 2、A Couple of Cuckoos Season 2、杜鹃婚约 第2季","和繪里香一起外出逛街時，彌被不明人士綁架了！下定決心要幫忙做點什麼的凪，牽起彌的手──竟然決定要「私奔」？還有凪的青梅竹馬‧小愛登場！相隔多年從中國回到日本，就為了要回答那時的答覆。四角關係出現大大大波動！","巴哈姆特動畫瘋","愛奇藝","巴哈姆特動畫瘋","愛奇藝","","","6.78","54K","anime_data/images/杜鵑婚約 第2季.jpg"
